COD,GENERO,PESO,ALTURA
64,M,100.89,1.71
3912,F,67.42,1.84
605,M,62.39,1.65
7596,F,65.24,1.68
5092,M,73.65,1.87
2242,F,64.44,1.71
2134,M,77.4,1.78
8465,F,62.15,1.66
959,F,79.24,1.68
6061,M,80.98,1.65
1746,M,74.68,1.68
8742,F,61.9,1.67
8115,F,62.7,1.41
926,M,83.34,1.73
9446,M,77.16,1.95
2752,F,62.54,1.69
5612,F,59.17,1.59
2347,F,56.14,1.76
5707,M,82.83,1.74
3047,F,71.34,1.66
2423,M,81.33,1.76
1807,M,92.63,1.72
7210,F,54.51,1.59
4205,M,80.11,1.64
2358,M,81.17,1.55
6484,F,59.92,1.61
4310,F,56.54,1.74
5805,F,56.16,1.74
2762,F,65.15,1.55
6563,F,58.62,1.6
8451,M,79.29,1.76
2817,F,57.94,1.53
2301,M,67.89,1.71
1994,M,80.09,1.59
4536,F,60.8,1.64
1016,F,58.91,1.55
9533,M,67.26,1.79
4859,F,59.51,1.74
7813,M,81.49,1.8
7647,M,78.5,1.7
9299,F,52.85,1.75
3532,F,56.22,1.73
2774,F,44.41,1.6
9178,M,86.85,1.55
2456,F,64.99,1.72
7229,M,73.58,1.71
6196,M,77.66,1.88
6193,M,80.51,1.86
6815,F,61.38,1.63
5608,F,54.41,1.94
3827,F,78.07,1.85
4916,F,64.99,1.68
5592,F,56.18,1.9
8073,F,71.15,1.75
4210,F,77.62,1.84
814,M,79.82,1.87
2787,F,63.57,1.61
766,M,73.78,1.85
4784,F,68.13,1.63
3478,F,65.2,1.68
5414,M,81.66,1.64
3829,M,86.06,1.78
3215,F,67.88,1.73
8420,M,70.8,1.98
5313,M,76.63,1.8
9723,F,64.43,1.61
3661,F,77.76,1.6
3261,M,77.65,1.85
7817,F,70.86,1.58
1016,F,66.3,1.79
3400,F,63.54,1.61
7398,F,62.54,1.56
7756,F,46.06,1.93
9284,F,53.98,1.76
3132,F,75.72,1.66
4738,F,74.45,1.87
3108,F,61.34,1.8
9397,F,77.72,1.5
7055,M,74.97,1.84
2649,M,69.12,1.77
2104,M,76.37,1.64
4569,M,64.15,1.91
5325,M,77.5,1.86
2278,M,71.91,1.71
3072,M,91.4,1.76
5796,M,66.62,1.91
8162,F,59.68,1.71
5907,F,58.77,1.67
1231,F,56.59,1.69
3123,M,77.82,1.71
850,M,58.47,1.66
9419,M,77.32,1.61
1090,M,69.5,1.77
4492,M,64.77,1.6
5777,M,62.07,1.85
4016,F,59.86,1.6
1997,M,80.14,1.71
1356,F,69.73,1.59
6487,F,52.29,1.51
6065,F,60.39,1.64
3988,M,83.76,1.62
3684,F,70.65,1.76
5548,F,60.84,1.58
6740,F,58.78,1.81
4588,M,96.03,1.69
6261,M,45.79,1.73
3080,F,75.75,1.62
5989,M,61.17,1.6
4681,F,71.9,1.83
2823,F,53.11,1.83
7180,M,86.74,1.76
3588,M,69.23,1.49
9236,M,74.74,1.75
5920,F,66.72,1.76
8435,F,59.1,1.75
8013,F,57.75,1.63
1468,M,70.53,1.85
4479,F,58.38,1.76
8952,M,61.33,1.73
5626,M,70.53,1.84
7609,M,89.4,1.98
9780,F,70.28,1.6
6865,F,76.27,1.88
7173,F,64.36,1.61
1195,F,78.25,1.57
4154,M,90.35,1.75
979,M,76.68,1.78
8544,F,62.32,1.61
7191,F,72.77,1.85
2447,M,75.67,1.92
7197,M,64.63,1.73
889,M,76.69,1.97
3563,F,63.47,1.67
738,M,90.15,1.64
3306,F,54.87,1.89
2549,F,68.22,1.8
7554,M,85.78,1.94
3967,F,57.86,1.72
8475,F,72.11,1.59
6864,F,68.58,1.71
8558,M,84.67,1.79
5518,F,56.77,1.82
3263,F,60.07,1.64
2849,F,59.07,1.56
3124,M,59.64,1.85
6513,F,65.15,1.57
3952,M,78.8,1.78
704,F,70.7,1.4
2218,M,80.94,1.71
34,F,66.91,1.42
9373,F,53.15,1.7
1836,M,90.11,1.93
5788,F,66.18,1.53
4393,M,69.64,1.84
2087,F,72.79,1.7
594,F,80.08,1.77
8112,M,75.9,1.66
8420,M,86.82,1.8
8306,M,79.32,1.88
2779,F,64.53,1.59
5873,F,63.23,1.82
5603,M,60.88,1.91
8818,F,62.47,1.77
9087,F,54.84,1.67
6089,M,81.45,1.89
8675,M,74.29,1.85
7266,M,61.8,1.81
4680,F,69.54,1.86
9185,F,67.58,1.79
5750,M,76.49,1.79
5283,F,61.46,1.64
5698,F,63.21,1.55
3656,M,65.87,1.8
5852,M,73.82,1.77
4539,M,69.96,1.63
3052,F,65.96,1.76
6072,M,53.95,1.9
9907,F,64.39,1.5
611,M,78.37,1.72
8135,M,71.58,1.77
432,M,95.0,1.76
8136,M,85.13,1.76
4406,M,67.73,1.65
4433,M,85.97,1.74
1498,F,72.12,1.47
2840,F,64.79,1.75
7846,M,97.14,1.72
7134,M,76.17,1.87
2255,M,71.45,1.75
7291,M,76.47,1.9
7947,F,81.27,1.67
759,M,78.01,1.9
3590,M,100.58,1.85
8736,F,58.8,1.76
628,M,87.92,1.73
1499,F,69.11,1.82
9756,M,67.68,1.66
6039,F,48.37,1.6
2046,M,80.29,1.77
4961,F,72.51,1.74
4600,M,70.85,1.66
6518,M,69.16,1.72
8385,F,76.12,1.62
3381,F,68.7,1.68
1741,M,78.74,1.59
9824,M,83.48,1.92
2508,M,75.93,1.84
758,F,66.04,1.61
8588,M,77.39,1.94
9631,F,76.52,1.61
300,M,76.95,1.92
3856,M,81.59,1.91
7345,M,72.59,1.97
5960,F,65.99,1.59
5516,M,82.48,1.65
9111,F,81.2,1.76
4969,F,64.84,1.83
2630,M,70.89,1.66
2678,M,78.23,1.79
5010,F,67.52,1.8
7142,F,65.65,1.68
962,F,56.17,1.7
9605,F,63.82,1.83
3677,F,67.76,1.61
2314,M,89.3,1.86
9190,M,67.15,1.78
1938,F,56.12,1.61
2694,F,62.35,1.74
4026,M,68.04,1.75
5599,M,100.19,1.8
1218,M,83.44,1.78
9283,M,81.78,1.83
2433,M,92.48,1.87
8213,M,85.69,1.76
8838,M,84.42,1.77
1416,M,84.49,1.69
9793,F,56.61,1.62
3990,M,84.53,1.72
8891,M,86.55,1.67
6978,M,83.56,1.77
5462,F,73.73,1.63
1622,M,74.69,1.82
9993,M,67.41,1.87
4398,M,61.46,1.81
8050,F,74.4,1.64
128,M,62.28,1.67
4008,F,60.34,1.59
3713,F,59.59,1.69
2546,M,79.68,1.84
2448,M,70.14,1.76
2546,F,57.94,1.76
2399,F,61.51,1.62
5721,M,90.03,1.81
2096,M,70.98,1.65
8390,F,79.09,1.53
3462,F,73.25,1.58
6449,F,58.47,1.8
5931,F,66.45,1.57
4494,F,61.16,1.77
8657,M,68.64,1.79
437,M,85.49,1.82
6597,M,88.49,1.77
7541,M,78.71,1.69
9517,F,54.69,1.59
9265,F,54.94,1.91
886,M,83.89,1.82
5872,M,67.3,1.7
2213,F,64.81,1.7
7514,F,58.82,1.74
6961,F,77.2,1.71
6497,F,75.2,1.68
1874,M,74.8,1.7
6307,M,80.42,1.85
9273,F,69.78,1.71
7687,M,75.53,1.64
2062,F,65.73,1.59
3706,F,70.49,1.69
3791,M,93.46,1.79
7903,M,76.87,1.67
5914,F,64.24,1.67
6767,M,58.01,1.81
8171,F,81.4,1.6
1224,M,87.58,1.66
3022,F,54.99,1.53
1573,M,82.54,1.76
528,F,72.89,1.67
1238,F,52.96,1.61
3841,M,76.34,1.82
667,F,78.36,1.95
2321,F,64.66,1.61
6949,F,73.82,1.65
8760,F,59.2,1.82
6392,M,66.57,1.94
3152,M,87.74,1.79
6135,F,70.02,1.69
463,M,79.57,1.93
9821,M,70.26,1.93
7485,M,51.96,1.85
1314,F,81.36,1.69
4687,F,76.47,1.58
5452,F,57.83,1.76
1810,F,59.19,1.57
4573,M,75.53,1.68
9204,F,66.9,1.54
1810,F,68.23,1.87
4906,M,89.45,1.69
1620,F,66.43,1.66
7206,F,64.75,1.64
7554,F,78.92,1.56
3370,F,54.72,1.57
8282,M,85.11,1.86
295,M,71.71,1.75
7771,M,76.51,1.92
3604,M,69.24,1.69
4507,M,83.59,1.88
5390,F,65.28,1.73
790,F,64.26,1.65
5309,M,85.25,1.83
9574,F,68.87,1.73
3394,F,57.23,1.7
1544,M,64.69,1.66
8700,M,60.56,1.77
7615,M,80.75,1.86
4893,M,85.32,1.87
3120,F,73.8,1.49
4479,F,66.13,1.61
3013,F,59.34,1.61
285,F,78.3,1.64
2236,F,65.28,1.74
4551,F,49.89,1.66
6873,M,78.84,1.85
329,M,65.53,1.75
6669,M,81.58,1.97
7057,M,77.82,1.83
4779,M,75.15,1.69
7619,F,63.16,1.64
4510,F,74.56,1.77
5204,F,73.85,1.65
118,F,58.56,1.79
5340,F,66.67,1.64
3596,F,55.04,1.62
4652,M,72.5,1.71
7712,F,78.67,1.57
4909,F,63.63,1.49
3004,M,97.83,1.78
4191,F,72.57,1.53
4630,F,63.79,1.85
8612,F,62.61,1.5
7426,F,58.27,1.78
1594,M,68.7,1.87
6985,F,71.93,1.58
823,M,76.28,1.77
1255,M,80.25,1.67
5564,M,79.37,1.99
4955,F,55.42,1.69
9429,F,56.57,1.74
8189,F,63.51,1.67
4173,M,72.68,1.84
4770,F,60.38,1.57
3053,M,74.2,1.63
9006,F,61.94,1.72
4797,M,65.36,1.91
2266,F,59.58,1.8
3776,M,58.09,1.83
6113,M,56.53,1.78
2716,F,71.3,1.65
2422,M,87.02,1.79
8553,F,72.62,1.85
9515,M,89.11,1.71
722,F,62.49,1.61
5820,M,80.04,1.68
3434,M,80.66,1.76
6432,F,68.35,1.61
4259,F,64.76,1.85
1977,M,81.91,1.69
7359,M,78.85,1.93
6420,M,67.95,1.86
1810,F,66.77,1.65
3460,F,68.9,1.64
9880,F,59.42,1.73
3797,F,55.73,1.55
8460,F,62.81,1.73
8380,M,80.28,1.85
6538,F,73.33,1.6
9512,F,69.38,1.71
491,M,69.5,1.98
5625,F,62.23,1.72
9487,F,67.51,1.61
4503,M,59.17,1.78
6852,F,63.99,1.69
1717,F,59.81,1.67
378,F,75.65,1.65
3021,F,75.02,1.74
473,M,72.78,1.71
8496,F,79.61,1.91
5009,M,71.94,1.68
2584,M,72.87,1.84
1604,F,66.89,1.69
4364,M,77.56,1.82
67,M,78.55,1.88
9930,M,62.44,1.74
7840,M,92.41,1.82
976,M,78.6,1.81
324,M,83.5,1.81
9331,M,66.11,1.74
7028,F,72.41,1.66
9430,M,97.5,1.81
627,M,83.66,1.95
3862,F,66.92,1.62
8687,F,52.8,1.6
9531,F,66.83,1.6
3027,M,84.06,1.79
1601,F,64.04,1.79
5042,F,74.22,1.57
8371,M,79.26,1.9
6970,M,102.81,1.64
6153,F,60.28,1.8
7055,M,73.88,1.88
4517,F,67.26,1.7
7994,M,99.98,1.74
159,F,70.08,1.79
4459,M,85.57,1.68
9597,M,79.73,1.73
1897,M,74.28,1.73
7143,M,79.18,1.77
1463,M,72.79,1.77
6840,F,55.78,1.71
6262,F,67.69,1.65
7386,M,77.67,1.76
3377,M,65.04,1.71
5244,F,74.99,1.72
6178,F,65.2,1.54
6344,F,80.67,1.73
5011,F,61.58,1.79
282,F,58.79,1.72
4469,F,57.26,1.7
3021,M,75.24,1.78
3047,M,72.23,1.72
5851,F,60.3,1.69
4595,F,58.23,1.47
4147,M,82.79,1.87
128,M,82.76,1.82
2660,F,63.19,1.62
3631,F,55.58,1.85
7118,F,64.32,1.82
6426,F,55.35,1.83
7741,M,83.5,1.88
8807,M,77.81,1.77
6507,M,78.44,1.62
9580,F,71.76,1.71
7378,M,85.84,1.93
1919,F,70.75,1.59
3090,F,71.4,1.7
9960,M,69.28,1.75
7248,M,70.26,1.91
7800,F,75.05,1.67
9781,F,65.33,1.97
9238,F,56.2,1.77
4932,F,59.77,1.89
4056,F,67.27,1.57
9270,M,77.87,1.73
6239,M,84.8,1.84
1461,F,65.05,1.82
6331,F,58.91,1.67
4256,M,87.43,1.71
8475,F,71.98,1.67
3946,F,70.87,1.57
550,F,58.17,1.51
693,F,83.49,1.3
4266,M,65.13,1.71
9935,M,66.95,1.75
6967,F,66.15,1.7
8585,M,73.08,1.81
2674,F,65.27,1.64
1640,F,72.21,1.61
2669,F,72.62,1.58
2610,M,76.52,1.65
5736,F,56.8,1.63
1030,M,85.02,1.85
5978,F,68.29,1.81
5712,F,53.56,1.69
3307,M,73.28,1.72
4125,M,78.32,1.78
3818,M,64.42,1.81
8106,M,78.53,1.86
9361,F,62.48,1.48
3030,M,83.5,1.81
7804,M,69.48,1.77
4025,M,77.61,1.71
5550,M,65.75,1.93
146,M,66.17,1.75
1790,M,81.6,1.68
7502,M,83.08,1.96
5948,M,84.17,1.85
9239,F,57.74,1.75
9021,M,79.24,1.85
8433,F,67.62,1.6
8446,M,93.37,1.89
3598,F,72.19,1.89
4169,M,63.88,1.93
153,M,67.54,1.95
1080,F,67.66,1.82
6554,F,78.63,1.72
9382,M,85.96,1.66
3559,F,69.59,1.7
8752,F,58.08,1.64
5432,F,66.34,1.64
5456,F,61.54,1.62
2157,M,74.08,1.71
4773,F,71.62,1.7
8947,M,59.63,1.77
1009,M,76.05,1.66
1129,F,67.91,1.53
3822,F,56.35,1.49
8375,F,60.12,1.61
9591,M,76.58,1.68
9195,F,57.23,1.51
7725,M,67.3,1.79
7237,M,60.77,1.83
4728,M,70.97,1.73
9743,M,69.63,1.67
253,F,54.82,1.65
4762,M,75.16,1.72
5656,F,63.54,1.71
5034,F,62.06,1.79
1446,M,77.96,1.79
1542,F,67.94,1.5
7022,F,74.0,1.68
7184,M,82.04,1.8
4390,F,77.4,1.69
7033,F,68.79,1.67
275,F,39.31,1.66
5374,M,92.59,1.72
9207,M,71.23,1.7
668,M,88.88,1.75
5643,M,93.68,2.02
9159,F,84.68,1.82
7370,M,92.02,1.92
8348,F,60.07,1.69
4746,M,68.0,1.7
3319,F,47.27,1.63
7293,F,82.7,1.68
349,F,64.39,1.61
7038,F,62.46,1.75
7589,M,75.56,1.75
8728,F,67.42,1.72
2492,M,69.8,1.83
1230,F,57.52,1.99
1042,M,85.94,1.68
4822,F,52.99,1.55
2614,M,79.86,1.73
4523,F,66.09,1.74
3973,F,68.9,1.62
8509,F,65.5,1.87
8677,M,88.4,1.68
4182,F,50.18,1.61
5212,F,53.06,1.71
3760,F,73.59,1.85
3150,F,70.71,1.85
2691,M,92.1,1.76
695,M,76.07,1.77
4691,F,65.42,1.97
8385,F,68.55,1.52
7594,M,88.9,1.55
5886,F,76.87,1.65
2045,F,59.01,1.62
252,F,66.09,1.37
2501,M,93.3,1.84
7426,F,72.13,1.75
3778,F,72.43,1.78
9054,F,66.37,1.7
5625,F,63.7,1.58
1975,F,75.4,1.62
6262,F,63.85,1.58
1487,M,74.77,1.74
3886,M,70.79,2.0
5555,F,62.79,1.64
1145,M,92.39,1.83
3094,M,61.09,1.68
4892,F,72.1,1.71
9933,F,76.94,1.69
7773,M,64.45,1.77
5152,M,77.19,1.7
519,M,57.79,1.84
8520,F,59.48,1.83
4766,M,75.98,1.71
9913,M,88.61,1.7
4738,F,55.75,1.5
4892,M,78.54,1.87
8362,F,71.69,1.74
6733,M,78.82,1.64
6728,F,63.29,1.57
2491,M,87.28,1.81
4952,M,79.26,1.83
8902,F,55.02,1.81
2103,M,84.75,1.83
9042,M,85.3,1.97
848,M,68.59,1.7
2211,F,71.93,1.54
7663,F,52.91,1.7
9274,F,50.35,1.66
2300,M,57.75,1.65
5679,F,77.62,1.71
1641,M,58.18,1.83
5852,F,82.55,1.66
6661,M,68.19,1.93
4132,F,64.82,1.96
5211,M,71.42,1.83
2892,M,77.76,1.79
6792,M,60.9,1.79
4031,F,79.03,1.61
7315,F,73.68,1.76
4017,M,74.66,1.91
6674,M,74.54,1.76
4374,F,57.73,1.68
1047,M,92.5,1.77
3993,F,75.84,1.79
6243,F,80.64,1.76
7153,F,63.43,1.72
3992,M,66.41,1.67
6561,F,57.57,1.74
3185,F,59.43,1.66
608,M,76.58,1.98
4114,F,65.52,1.66
7740,M,94.47,1.67
873,F,62.86,1.55
5209,M,83.24,1.63
1401,M,85.69,1.71
276,F,71.92,1.77
4510,F,54.08,1.45
8128,M,64.47,1.79
4263,F,55.59,1.75
1576,F,63.9,1.64
5606,F,71.65,1.73
6553,M,83.69,1.81
985,M,65.57,1.88
303,M,57.91,1.82
3091,M,72.7,1.78
7245,F,66.32,1.55
6225,F,58.6,1.74
1198,F,76.03,2.01
1195,F,65.45,1.7
4824,F,64.75,1.66
1927,M,85.18,1.91
564,M,85.43,1.65
3126,M,78.41,1.69
7382,F,66.27,1.7
5735,M,77.34,1.92
5427,M,61.27,1.7
8689,M,70.91,1.69
8830,M,66.3,1.63
2670,F,62.95,1.67
5057,F,54.0,1.81
975,M,69.2,1.81
4275,F,63.44,1.88
5654,F,68.35,1.68
9594,M,93.19,1.71
6589,M,70.91,1.8
6292,M,60.92,1.69
3697,M,59.2,1.82
7785,F,65.07,1.83
1506,F,46.69,1.58
9773,M,59.41,1.65
4020,F,61.78,1.71
128,F,50.88,1.71
5132,M,61.67,1.81
5379,F,63.07,1.58
5092,F,66.07,1.56
3943,F,57.78,1.82
3876,M,54.24,1.79
8562,M,58.9,1.83
2596,F,55.04,1.63
5267,F,71.63,1.94
9910,F,50.01,1.68
4115,M,71.03,1.85
1985,M,74.3,1.91
8849,M,73.96,1.69
1109,M,79.42,1.74
1387,M,70.81,1.64
6660,M,61.38,1.8
78,F,66.13,1.35
6412,M,64.8,1.64
2968,M,70.95,1.98
7236,F,66.52,1.76
5206,F,55.12,1.67
570,F,70.05,1.47
2202,F,59.93,1.71
5899,M,96.92,1.96
6908,F,71.09,1.69
217,F,64.18,1.82
5118,M,85.21,1.61
88,F,68.3,1.64
7522,F,74.71,1.81
2707,M,76.19,1.81
5969,F,57.46,1.79
8062,F,52.92,1.75
7654,F,61.05,1.71
992,F,65.78,1.64
7630,F,61.14,1.74
8162,F,68.25,1.6
6408,M,73.65,1.9
3191,M,72.89,1.82
599,M,58.32,1.84
2073,M,77.04,1.66
3641,F,69.28,1.63
2293,M,74.95,1.73
791,M,95.51,1.81
8628,M,65.55,1.75
402,M,66.61,1.73
9702,F,68.86,1.74
3669,F,63.24,1.61
6968,M,88.03,1.8
6304,M,83.86,1.82
2657,F,73.32,1.62
9443,F,58.81,1.5
465,F,75.81,1.59
7494,F,62.99,1.78
578,F,82.35,1.85
8512,M,86.81,1.8
9849,M,70.79,1.87
2849,F,72.61,1.69
7936,M,71.76,1.92
8045,F,64.97,1.44
5397,F,54.94,1.73
8143,F,68.54,1.66
2414,F,64.54,1.72
6571,M,62.37,1.77
7162,M,72.54,1.64
4163,F,61.56,1.52
2291,F,55.27,1.75
9837,M,81.11,1.75
7715,F,60.2,1.68
40,F,64.39,1.75
7675,M,82.05,1.82
3667,M,68.55,1.83
85,F,54.13,1.57
2831,M,72.52,1.77
2703,M,76.54,1.75
592,M,75.01,1.96
3299,F,76.51,1.67
3573,M,83.74,1.68
9274,F,58.56,1.53
7124,M,73.65,1.8
6167,M,93.31,1.76
7139,M,93.85,1.78
9050,F,65.57,1.72
1621,F,70.94,1.68
5325,F,57.41,1.68
5842,M,83.15,1.67
2161,F,48.05,1.69
6372,F,73.09,1.74
4511,F,68.62,1.83
7771,F,60.08,1.8
1954,F,70.88,1.61
9148,M,68.82,1.81
6563,F,54.19,1.66
4905,M,84.15,1.6
149,F,59.19,1.65
8576,F,61.2,1.73
4067,F,66.45,1.79
1312,M,68.7,1.73
6604,F,46.62,1.65
1485,F,60.47,1.66
4127,M,70.28,1.98
8540,M,78.69,1.78
2547,F,66.64,1.71
7081,M,78.13,1.76
1707,F,73.26,1.66
4390,F,73.49,1.75
3638,M,70.47,1.8
7888,M,72.85,1.69
6553,M,71.63,1.81
5231,F,72.84,1.57
8022,F,58.7,1.65
4245,F,66.43,1.8
150,F,71.2,1.71
5384,M,91.71,1.63
9751,F,66.98,1.81
9696,M,77.75,1.82
5431,F,64.19,1.71
9893,F,71.55,1.75
9336,M,77.64,1.82
6666,M,60.45,1.89
1668,M,95.14,1.95
940,F,65.76,1.84
2561,M,63.71,2.06
8016,F,64.05,1.72
3188,F,64.46,1.51
9109,M,64.82,1.72
7653,F,72.04,1.71
2424,F,69.26,1.84
8179,M,88.32,1.63
7869,F,74.72,1.74
4495,M,59.35,1.74
3143,M,97.26,1.8
5919,F,50.68,1.55
9019,M,89.36,1.85
3493,M,72.5,1.69
7171,F,79.12,2.02
4370,F,65.12,1.72
3064,M,72.14,1.72
7118,M,74.27,1.78
6509,F,73.48,1.65
5783,F,81.88,1.74
1650,M,72.23,1.83
4374,M,76.69,1.6
7188,M,69.11,1.71
6695,M,66.47,2.02
5959,F,73.92,1.64
7816,M,62.02,1.79
7805,F,71.26,1.73
7878,F,54.87,1.71
5999,M,76.04,1.82
2355,M,72.49,1.88
8615,F,66.38,1.65
5841,M,73.32,1.68
2369,F,56.91,1.56
7022,F,60.73,1.62
6310,F,75.06,1.74
9677,M,83.33,1.88
599,M,68.65,1.82
6053,M,69.37,1.91
8428,M,75.38,1.74
1428,F,66.12,1.78
9430,M,96.98,1.73
4024,F,64.32,1.85
3908,M,65.11,1.89
9719,F,60.13,1.59
9784,F,68.08,1.73
2821,M,66.74,1.76
6443,F,60.39,1.71
8998,F,71.49,1.66
368,F,64.89,1.6
6105,M,77.9,1.71
4595,M,60.26,1.83
6130,M,83.97,1.8
2808,F,60.03,1.68
8363,M,73.88,1.95
2828,F,69.25,1.9
2664,F,68.86,1.71
888,M,80.62,1.84
7610,M,75.91,1.65
9528,F,68.6,1.76
2210,M,73.37,1.84
8672,M,85.58,1.87
1515,M,64.91,1.74
122,M,74.67,1.62
6314,M,75.66,1.77
5466,F,56.91,1.67
8563,F,64.56,1.65
976,F,62.51,1.38
7289,M,95.65,1.92
2706,F,58.66,1.72
9189,M,60.28,1.82
3870,M,68.49,1.77
4916,F,70.09,1.57
4684,F,55.85,1.77
8748,M,72.0,1.65
